_id,report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,route_type,mile_point,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,municipality,surface_condition,junction,intersection_type,road_alignment,road_condition
662d5de3ef9195c349999c0d,MCP3170003V,240000438,Montgomery County Police,Property Damage Crash,2024-01-03T14:55:00.000,No,0,0,Yes,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5de3ef9195c349999c0e,MCP15540064,230074436,Montgomery County Police,Property Damage Crash,2023-12-31T22:15:00.000,No,2,2,No,DRIVER,SINGLE VEHICLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,County,2.08,South,West,75.0,FEET,GRADE DOWNHILL,NEEDWOOD RD,County,Missing,DRY,Missing,Missing,CURVE RIGHT,NO DEFECTS
662d5de3ef9195c349999c0f,MCP3300002L,230074431,Montgomery County Police,Property Damage Crash,2023-12-31T22:00:00.000,No,1,2,No,DRIVER,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),2.23,South,North,0.0,FEET,LEVEL,LAYHILL RD,County,Missing,Missing,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5de3ef9195c349999c10,EJ78710072,230074429,Gaithersburg Police Depar,Property Damage Crash,2023-12-31T21:19:00.000,No,3,3,No,DRIVER,SAME DIR REAR END,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,Maryland (State),3.59,West,North,100.0,FEET,LEVEL,MONTGOMERY VILLAGE AVE,Maryland (State),Missing,WET,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5de3ef9195c349999c11,MCP2302000G,230074415,Montgomery County Police,Property Damage Crash,2023-12-31T17:26:00.000,No,1,2,No,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,County,1.35,East,North,0.0,FEET,LEVEL,WATKINS MILL RD,County,Missing,DRY,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS
662d5de3ef9195c349999c12,DD5649003K,230074413,Rockville Police Departme,Injury Crash,2023-12-31T17:25:00.000,No,2,2,No,DRIVER,OTHER,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Municipality,0.23,East,South,0.0,FEET,LEVEL,MONROE ST,Maryland (State),Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5de3ef9195c349999c13,MCP2583003W,230074410,Montgomery County Police,Property Damage Crash,2023-12-31T16:28:00.000,No,1,1,No,DRIVER,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,Maryland (State),0.0,West,West,2.7,MILE,LEVEL,BUCKLODGE RD,Maryland (State),Missing,DRY,Missing,Missing,STRAIGHT,NO DEFECTS
662d5de3ef9195c349999c14,DD5666000D,230074399,Rockville Police Departme,Injury Crash,2023-12-31T15:22:00.000,No,0,0,Yes,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5de3ef9195c349999c15,MCP27260089,240000218,Montgomery County Police,Property Damage Crash,2023-12-31T15:18:00.000,Yes,0,0,Yes,DRIVER,OTHER,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5de3ef9195c349999c16,MCP3254003N,240000590,Montgomery County Police,Injury Crash,2023-12-31T13:00:00.000,Yes,0,0,Yes,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
