report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,off_road_description,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,first_harmful_event,second_harmful_event,fixed_oject_struck,route_type,mile_point,mile_point_direction,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,cross_street_name,municipality,surface_condition,junction,intersection_type,intersection_area,road_alignment,road_condition,road_division,related_non_motorist,non_motorist_substance_abuse,lane_type
MCP3170003V,240000438,Montgomery County Police,Property Damage Crash,2024-01-03T14:55:00.000,No,0,0,Yes,IN FRONT OF 18900 BIRDSEYE DR,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
MCP15540064,230074436,Montgomery County Police,Property Damage Crash,2023-12-31T22:15:00.000,No,2,2,No,,DRIVER,SINGLE VEHICLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,OFF ROAD,FIXED OBJECT,DITCH,County,2.08,East,South,West,75,FEET,GRADE DOWNHILL,NEEDWOOD RD,County,EQUESTRIAN LA,N/A,DRY,N/A,N/A,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",,,
MCP3300002L,230074431,Montgomery County Police,Property Damage Crash,2023-12-31T22:00:00.000,No,1,2,No,,DRIVER,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,N/A,N/A,Maryland (State),2.23,North,South,North,0,FEET,LEVEL,LAYHILL RD,County,BEL PRE RD,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",,,
EJ78710072,230074429,Gaithersburg Police Depar,Property Damage Crash,2023-12-31T21:19:00.000,No,3,3,No,,DRIVER,SAME DIR REAR END,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,N/A,N/A,Maryland (State),3.59,North,West,North,100,FEET,LEVEL,MONTGOMERY VILLAGE AVE,Maryland (State),FREDERICK RD,N/A,WET,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",,,
MCP2302000G,230074415,Montgomery County Police,Property Damage Crash,2023-12-31T17:26:00.000,No,1,2,No,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,N/A,N/A,County,1.35,North,East,North,0,FEET,LEVEL,WATKINS MILL RD,County,CLUB HOUSE RD,N/A,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",,,
DD5649003K,230074413,Rockville Police Departme,Injury Crash,2023-12-31T17:25:00.000,No,2,2,No,,DRIVER,OTHER,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,PEDESTRIAN,N/A,N/A,Municipality,0.23,South,East,South,0,FEET,LEVEL,MONROE ST,Maryland (State),E JEFFERSON ST,N/A,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",PEDESTRIAN,NONE DETECTED,
MCP2583003W,230074410,Montgomery County Police,Property Damage Crash,2023-12-31T16:28:00.000,No,1,1,No,,DRIVER,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,FIXED OBJECT,N/A,OTHER POLE,Maryland (State),0,East,West,West,2.7,MILE,LEVEL,BUCKLODGE RD,Maryland (State),DARNESTOWN RD,N/A,DRY,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",,,
DD5666000D,230074399,Rockville Police Departme,Injury Crash,2023-12-31T15:22:00.000,No,0,0,Yes,INTO STRUCTURE OF 721 MONROE ST. APARTMENT102,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,FIXED OBJECT,FIXED OBJECT,CURB,,,,,,,,,,,,,,,,,,,,PEDESTRIAN,NONE DETECTED,
MCP27260089,240000218,Montgomery County Police,Property Damage Crash,2023-12-31T15:18:00.000,Yes,0,0,Yes,11800 BLK OF GRAND PARK AVE,DRIVER,OTHER,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,PARKED VEHICLE,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
MCP3254003N,240000590,Montgomery County Police,Injury Crash,2023-12-31T13:00:00.000,Yes,0,0,Yes,ON THE SIDEWALK IN FRONT OF EXXON AT 448 N FREDERICK AVENUE GAITHERSBURG MD 20877,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,PEDESTRIAN,N/A,N/A,,,,,,,,,,,,,,,,,,,,PEDESTRIAN,N/A,
