report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,off_road_description,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,first_harmful_event,second_harmful_event,fixed_oject_struck,route_type,mile_point,mile_point_direction,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,cross_street_name,municipality,surface_condition,junction,intersection_type,intersection_area,road_alignment,road_condition,road_division,related_non_motorist,non_motorist_substance_abuse,lane_type
MCP3170003V,240000438,Montgomery County Police,Property Damage Crash,2024-01-03T14:55:00.000,No,0,0,Yes,IN FRONT OF 18900 BIRDSEYE DR,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP15540064,230074436,Montgomery County Police,Property Damage Crash,2023-12-31T22:15:00.000,No,2,2,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,OFF ROAD,FIXED OBJECT,DITCH,County,2.08,East,South,West,75.0,FEET,GRADE DOWNHILL,NEEDWOOD RD,County,EQUESTRIAN LA,Missing,DRY,Missing,Missing,Missing,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP3300002L,230074431,Montgomery County Police,Property Damage Crash,2023-12-31T22:00:00.000,No,1,2,No,Missing,DRIVER,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),2.23,North,South,North,0.0,FEET,LEVEL,LAYHILL RD,County,BEL PRE RD,Missing,Missing,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
EJ78710072,230074429,Gaithersburg Police Depar,Property Damage Crash,2023-12-31T21:19:00.000,No,3,3,No,Missing,DRIVER,SAME DIR REAR END,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),3.59,North,West,North,100.0,FEET,LEVEL,MONTGOMERY VILLAGE AVE,Maryland (State),FREDERICK RD,Missing,WET,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2302000G,230074415,Montgomery County Police,Property Damage Crash,2023-12-31T17:26:00.000,No,1,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.35,North,East,North,0.0,FEET,LEVEL,WATKINS MILL RD,County,CLUB HOUSE RD,Missing,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
DD5649003K,230074413,Rockville Police Departme,Injury Crash,2023-12-31T17:25:00.000,No,2,2,No,Missing,DRIVER,OTHER,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,PEDESTRIAN,Missing,Missing,Municipality,0.23,South,East,South,0.0,FEET,LEVEL,MONROE ST,Maryland (State),E JEFFERSON ST,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",PEDESTRIAN,NONE DETECTED,Missing
MCP2583003W,230074410,Montgomery County Police,Property Damage Crash,2023-12-31T16:28:00.000,No,1,1,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,FIXED OBJECT,Missing,OTHER POLE,Maryland (State),0.0,East,West,West,2.7,MILE,LEVEL,BUCKLODGE RD,Maryland (State),DARNESTOWN RD,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
DD5666000D,230074399,Rockville Police Departme,Injury Crash,2023-12-31T15:22:00.000,No,0,0,Yes,INTO STRUCTURE OF 721 MONROE ST. APARTMENT102,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,FIXED OBJECT,FIXED OBJECT,CURB,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,PEDESTRIAN,NONE DETECTED,Missing
MCP27260089,240000218,Montgomery County Police,Property Damage Crash,2023-12-31T15:18:00.000,Yes,0,0,Yes,11800 BLK OF GRAND PARK AVE,DRIVER,OTHER,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,PARKED VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP3254003N,240000590,Montgomery County Police,Injury Crash,2023-12-31T13:00:00.000,Yes,0,0,Yes,ON THE SIDEWALK IN FRONT OF EXXON AT 448 N FREDERICK AVENUE GAITHERSBURG MD 20877,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,PEDESTRIAN,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,PEDESTRIAN,Missing,Missing
