report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,off_road_description,collision_type,weather,light,traffic_control,driver_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,route_type,road_name,cross_street_type,cross_street_name,municipality,surface_condition,related_non_motorist,non_motorist_substance_abuse
MCP3170003V,240000438,Montgomery County Police,Property Damage Crash,2024-01-03T14:55:00.000,IN FRONT OF 18900 BIRDSEYE DR,OPPOSITE DIRECTION SIDESWIPE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,D651C16B-F61D-49D4-9F27-A3513DD40A1C,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,904F2114-2B56-46D9-B105-356073FA1D8A,NO DAMAGE,EIGHT OCLOCK,EIGHT OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,North,North,0,No,No,2015,FRHT,BU,NO MISUSE,,,,,,,,
MCP3170003V,240000438,Montgomery County Police,Property Damage Crash,2024-01-03T14:55:00.000,IN FRONT OF 18900 BIRDSEYE DR,OPPOSITE DIRECTION SIDESWIPE,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,ACC015E9-08A4-4856-866E-0004005F986C,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,4E492574-893B-4EB1-ADCA-53FDD633D6C4,FUNCTIONAL,SEVEN OCLOCK,SEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,0,No,No,2017,LEXUS,SUV,NO MISUSE,,,,,,,,
MCP15540064,230074436,Montgomery County Police,Property Damage Crash,2023-12-31T22:15:00.000,,SINGLE VEHICLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,F000865E-A7E7-440D-AD86-AC342003CEB3,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,FD2BAFEC-A6AA-45E3-AC54-07FE67F0962D,DISABLING,UNDERSIDE,UNDERSIDE,PASSENGER CAR,SKIDDING,South,South,35,No,No,1995,FORD,GT     CV,NO MISUSE,County,NEEDWOOD RD,County,EQUESTRIAN LA,N/A,DRY,,
MCP3300002L,230074431,Montgomery County Police,Property Damage Crash,2023-12-31T22:00:00.000,,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,AA5FAE6A-9EBF-475D-BCE3-371D47F2D316,Yes,NO APPARENT INJURY,N/A,UNKNOWN,XX,D9D431FB-D6B8-4203-9344-9C6BFFEFAF33,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,West,40,No,No,2015,HONDA,ACCORD,N/A,Maryland (State),LAYHILL RD,County,BEL PRE RD,N/A,N/A,,
MCP3300002L,230074431,Montgomery County Police,Property Damage Crash,2023-12-31T22:00:00.000,,HEAD ON LEFT TURN,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,32F49836-663E-4D51-B603-7DEAB430DF87,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,B1C8C872-64F4-49A4-8A8C-A4B545114AF7,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,No,No,2013,BMW,328,N/A,Maryland (State),LAYHILL RD,County,BEL PRE RD,N/A,N/A,,
EJ78710072,230074429,Gaithersburg Police Depar,Property Damage Crash,2023-12-31T21:19:00.000,,SAME DIR REAR END,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,3AFE5270-8791-4F11-BB90-4BC8819A8A15,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,436011A5-BF6C-4C08-BB31-0341C3306C65,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,No,No,2003,GMC,ENVOY,NO MISUSE,Maryland (State),MONTGOMERY VILLAGE AVE,Maryland (State),FREDERICK RD,N/A,WET,,
EJ78710072,230074429,Gaithersburg Police Depar,Property Damage Crash,2023-12-31T21:19:00.000,,SAME DIR REAR END,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,12C3AF22-F6D1-4706-9CBD-A1C91FD12B01,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,DEF44F9B-1944-42A7-B58D-31A95B580877,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,No,No,2023,SUBURAU,CROSSTRAC,NO MISUSE,Maryland (State),MONTGOMERY VILLAGE AVE,Maryland (State),FREDERICK RD,N/A,WET,,
MCP2302000G,230074415,Montgomery County Police,Property Damage Crash,2023-12-31T17:26:00.000,,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,F3EC20A2-D88B-499D-9FF8-43F7BC219EB3,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,7E4467B0-8893-4B2A-B464-05140DF7CF5B,DISABLING,EIGHT OCLOCK,EIGHT OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,North,35,No,No,2015,FORD,FUSION,NO MISUSE,County,WATKINS MILL RD,County,CLUB HOUSE RD,N/A,DRY,,
MCP2302000G,230074415,Montgomery County Police,Property Damage Crash,2023-12-31T17:26:00.000,,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,BD6AF5C3-6BC2-4AEE-8AEE-17E4A5C65717,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,26AC0ACC-C4F1-4113-99F8-C687E30689F1,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,No,No,2021,HOND,CIVIC,NO MISUSE,County,WATKINS MILL RD,County,CLUB HOUSE RD,N/A,DRY,,
DD5649003K,230074413,Rockville Police Departme,Injury Crash,2023-12-31T17:25:00.000,,OTHER,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,45A83806-5535-474C-A8A3-5665C8B4BCCA,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,CB44F573-2837-4C32-8285-8CDBAD5D8F9F,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,East,East,30,No,No,2017,TOYT,UT,N/A,Municipality,MONROE ST,Maryland (State),E JEFFERSON ST,N/A,DRY,PEDESTRIAN,NONE DETECTED
